Tendency	FAM19A5	TDRKH	KLK12	CNTNAP2	DCTN1	TRAF2	LY75	TNFRSF9	DCN	LAG3	LRRN1	IL10	METAP1D	CPXM1	CD4	SIGLEC6	TNFRSF4	CXCL9	ANGPT1	CD40-L	CBL	IRAK1
1	0.94239	2.63629	2.18153	1.24858	2.81108	1.66026	1.8887	5.25138	4.46642	2.40031	4.99987	2.72377	2.80273	4.47387	3.14139	4.66609	4.89375	5.9803	8.93996	4.67153	2.05231	1.09238
1	2.0573	4.1285	1.42784	1.5355	4.37903	2.13686	2.96236	5.28624	4.35791	2.90822	4.6051	4.22535	4.29705	5.20926	3.93725	4.99197	4.49402	7.03613	9.12302	6.27611	4.27719	2.42833
1	1.5881	2.19949	1.42784	0.96717	2.52366	1.54906	2.03377	5.20496	3.84796	2.17631	4.69275	2.71446	2.50905	4.58189	3.03677	5.26228	4.51481	5.86532	9.50534	4.89785	1.46327	1.00722
1	1.9803	3.44543	1.42784	0.91817	2.46812	1.7257	1.92119	5.58029	4.36564	2.53357	4.68995	2.95987	2.64167	4.45077	3.65949	5.50527	5.0275	6.83639	8.86917	3.90183	2.08736	0.87835
1	2.45013	2.92647	2.50913	1.66042	4.24576	3.48222	2.64002	6.25092	4.50953	3.26182	4.7612	3.66657	3.80895	3.38876	3.81186	5.51297	5.57928	8.64891	7.17771	5.06675	3.14115	2.42814
1	1.4492	1.9692	1.42784	1.15859	3.34929	1.77039	2.10873	5.82737	4.09893	2.93644	3.41511	3.6789	5.6561	4.80141	3.83738	5.78947	5.45626	7.24565	9.05595	4.69306	1.82033	0.91001
1	2.00641	1.83569	1.42784	1.47817	3.21437	2.15275	2.33325	5.5979	4.44074	3.13052	4.60593	3.3833	2.05457	4.22008	3.21916	5.36952	4.88029	7.32403	8.76	3.83713	1.18418	0.87835
1	1.56759	2.53289	1.42784	1.5142	3.08061	2.51355	2.7219	6.08388	4.31213	3.39896	5.37128	3.63716	2.95059	3.01985	3.86472	6.02522	5.07174	7.9969	8.56651	4.21087	1.98836	1.22868
1	1.7398	4.14544	1.42784	1.09594	4.17389	3.17681	2.11575	6.12692	4.54011	3.2134	4.54122	3.43548	4.08974	3.71714	3.51377	5.93373	5.62872	6.53192	8.35595	3.21251	3.4019	2.30923
1	1.9081	3.12486	1.42784	0.98233	3.22306	1.85232	2.30882	5.68638	4.19624	2.95978	4.98706	3.29036	2.70274	3.32107	3.02724	5.71544	5.48945	7.78528	9.12694	4.69407	2.48897	1.63893
1	2.40843	3.29881	2.35929	1.64915	3.81247	1.90341	2.7928	6.08232	4.71423	4.08126	4.79483	3.78941	3.16064	5.0684	3.69821	6.34879	5.61859	6.84328	9.70351	5.19532	3.21816	2.22573
1	2.03365	3.86067	1.42784	1.24925	4.83741	3.37446	2.76305	6.20631	4.20291	3.10759	5.07985	3.62109	3.49889	4.80795	3.58446	6.40035	5.80553	7.67775	8.95447	5.76691	4.04577	2.72991
1	1.52733	3.39343	1.42784	0.96976	4.76368	4.13701	2.34778	5.74636	4.26819	2.4444	5.06734	4.36902	3.77162	4.24962	3.0961	6.08279	5.62818	6.1215	9.44437	5.69397	4.39056	2.63466
1	2.1977	2.62056	1.42784	1.26773	2.62382	2.04645	1.94897	5.42635	4.02111	2.58634	3.76972	3.43073	2.69909	3.79014	3.07506	5.37438	4.92074	6.96673	8.8681	5.3795	2.04691	0.96516
1	2.08706	2.62402	2.36219	1.30313	3.47834	2.03399	2.29536	6.06515	4.18306	3.32018	4.90422	3.65206	3.40608	4.54187	3.75501	5.53392	5.08238	7.94838	8.67714	4.90632	2.67175	1.80835
0	1.60807	3.75888	1.85831	1.30325	4.13621	2.67052	2.39315	5.74277	3.95208	2.95812	4.34847	3.55688	4.2464	4.46955	3.49993	5.50786	5.66798	6.30501	8.57338	5.09347	3.4299	1.92169
0	1.0721	3.34985	1.58393	1.16451	4.16339	3.63185	2.49437	5.50187	3.84997	2.05108	4.23422	3.2309	4.05965	3.75401	2.83907	5.12644	5.00092	6.50749	8.50525	4.86078	3.17119	1.98127
0	1.93773	2.49974	2.71811	1.3321	4.05378	2.94788	2.66658	5.13858	3.8235	2.42635	4.93487	3.30332	3.39653	3.03856	3.30787	5.98963	5.16688	6.08255	8.75417	4.98184	2.79335	1.34741
0	2.16223	2.48481	1.42784	1.75443	3.69293	2.41379	2.59072	5.33853	4.30446	3.37643	4.86767	3.43503	3.09381	3.92537	3.54959	5.98841	4.78481	6.73326	8.43925	4.59201	2.46866	2.05738
